"消防緊急救護急救處置","總次數","呼吸道處置","口咽呼吸道","鼻咽呼吸道","抽吸","鼻管","面罩","非再呼吸型面罩","BVM","SGA","氣管內管","霧化吸入型面罩","哈姆立克法","其他","創傷處置","頸圈","清洗傷口","包紮止血","長背板固定","鏟式擔架固定","KED固定","骨折固定","夾板固定","抽吸式護木","其他","心肺復甦術","自動心肺復甦機","CPR","使用AED/不建議電擊","使用AED/電擊","藥物處置","靜脈輸液","口服葡萄糖","建議給藥","其他處置","保暖"
"102年 4月/ 嘉義市","3,428","189","9","-","2","59","100","3","15","1","-","-","-","-","842","45","368","337","52","1","3","-","36","-","-","30","-","16","12","2","7","1","5","1","2,360","837"
"102年 4月/ 金門縣","587","70","4","-","1","18","23","2","5","-","-","-","-","17","108","11","35","34","19","-","2","-","7","-","-","10","-","5","5","-","1","-","1","-","398","90"
"102年 4月/ 連江縣","27","-","-","-","-","-","-","-","-","-","-","-","-","-","10","2","3","2","2","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","17","6"
"102年 4月/ 基隆港","52","8","-","-","-","-","8","-","-","-","-","-","-","-","12","1","3","4","2","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","32","13"
"102年 4月/ 臺中港","21","-","-","-","-","-","-","-","-","-","-","-","-","-","4","-","1","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","17","6"
"102年 4月/ 高雄港","73","9","-","-","1","2","5","1","-","-","-","-","-","-","23","3","7","7","2","-","-","-","4","-","-","-","-","-","-","-","-","-","-","-","41","12"
"102年 4月/ 花蓮港","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3","1"
"102年 5月/ 區域別總計","235,308","18,289","607","169","148","3,828","7,897","1,456","2,046","991","70","-","20","1,057","64,658","4,308","27,167","24,779","5,081","223","215","-","2,885","-","-","3,475","-","1,730","1,523","222","1,943","896","649","398","146,943","35,935"
"102年 5月/ 新北市","39,376","2,391","41","35","19","493","918","294","363","187","39","-","2","-","9,427","612","4,280","3,382","539","-","34","-","580","-","-","561","-","270","242","49","882","510","129","243","26,115","3,491"
"102年 5月/ 臺北市","32,575","2,988","45","25","24","384","632","363","347","155","10","-","2","1,001","7,097","585","2,664","2,706","777","-","5","-","360","-","-","557","-","253","242","62","379","130","150","99","21,554","2,909"
"102年 5月/ 桃園市","19,822","2,137","69","40","9","390","1,253","127","137","102","8","-","2","-","5,762","286","2,482","2,429","337","1","28","-","199","-","-","254","-","137","100","17","184","78","93","13","11,485","3,835"
"102年 5月/ 臺中市","26,607","1,882","26","8","14","213","1,081","138","233","167","-","-","2","-","7,965","278","3,548","3,182","591","75","7","-","284","-","-","367","-","182","168","17","58","2","51","5","16,335","6,234"
"102年 5月/ 臺南市","15,440","1,393","12","12","8","457","555","86","146","104","-","-","-","13","5,820","506","2,394","2,234","448","-","14","-","224","-","-","246","-","120","107","19","67","41","18","8","7,914","2,922"
"102年 5月/ 高雄市","22,923","1,832","80","16","20","588","572","224","217","105","2","-","5","3","8,044","587","3,448","3,054","567","1","34","-","353","-","-","389","-","199","177","13","122","39","71","12","12,536","2,359"
"102年 5月/ 宜蘭縣","4,983","323","6","1","2","62","175","7","39","28","-","-","3","-","1,331","64","589","519","90","-","11","-","58","-","-","62","-","34","25","3","2","-","1","1","3,265","716"
"102年 5月/ 新竹縣","3,967","357","9","5","-","70","163","24","49","36","1","-","-","-","1,415","80","580","558","165","1","14","-","17","-","-","85","-","44","37","4","20","9","9","2","2,090","825"
"102年 5月/ 苗栗縣","4,797","569","7","1","2","164","320","9","40","25","-","-","1","-","1,381","98","528","514","163","-","2","-","76","-","-","71","-","37","32","2","15","1","9","5","2,761","1,363"
"102年 5月/ 彰化縣","15,022","900","85","9","8","213","469","11","101","2","-","-","1","1","4,100","189","1,681","1,650","283","140","6","-","151","-","-","176","-","87","82","7","39","12","26","1","9,807","2,730"
"102年 5月/ 南投縣","5,629","393","30","3","7","75","222","9","36","9","2","-","-","-","1,193","72","482","466","104","-","14","-","55","-","-","89","-","45","42","2","14","8","4","2","3,940","1,070"
"102年 5月/ 雲林縣","8,260","558","37","1","3","86","315","16","62","12","-","-","1","25","2,182","317","798","761","203","-","5","-","98","-","-","121","-","65","49","7","12","7","5","-","5,387","1,485"
"102年 5月/ 嘉義縣","5,332","393","24","1","4","109","206","5","40","4","-","-","-","-","1,309","69","552","516","99","1","7","-","65","-","-","66","-","38","25","3","20","-","19","1","3,544","1,378"
"102年 5月/ 屏東縣","9,321","669","56","3","4","216","278","15","81","12","3","-","1","-","2,410","200","965","881","229","-","11","-","124","-","-","152","-","76","74","2","11","-","8","3","6,079","1,656"
"102年 5月/ 臺東縣","3,324","364","3","4","3","67","185","46","33","19","4","-","-","-","846","62","310","304","115","-","2","-","53","-","-","60","-","30","26","4","53","44","8","1","2,001","610"
"102年 5月/ 花蓮縣","4,068","221","14","2","3","33","105","31","24","8","1","-","-","-","929","118","352","307","85","4","12","-","51","-","-","40","-","21","17","2","13","12","1","-","2,865","540"
"102年 5月/ 澎湖縣","1,193","72","2","-","2","14","47","3","4","-","-","-","-","-","233","18","93","87","17","-","1","-","17","-","-","13","-","8","3","2","2","-","2","-","873","235"
"102年 5月/ 基隆市","3,750","265","39","-","1","55","118","5","47","-","-","-","-","-","828","28","364","357","50","-","3","-","26","-","-","80","-","40","37","3","7","-","7","-","2,570","500"
"102年 5月/ 新竹市","4,228","283","4","2","8","59","132","36","27","15","-","-","-","-","1,197","65","560","420","118","-","2","-","32","-","-","42","-","21","19","2","36","2","33","1","2,670","104"
"102年 5月/ 嘉義市","3,695","194","13","-","4","53","105","3","15","1","-","-","-","-","936","56","407","375","56","-","1","-","41","-","-","25","-","12","12","1","2","-","2","-","2,538","850"
"102年 5月/ 金門縣","742","79","3","1","1","22","30","3","5","-","-","-","-","14","178","11","65","54","33","-","2","-","13","-","-","16","-","8","7","1","2","-","1","1","467","70"
"102年 5月/ 連江縣","27","3","-","-","-","-","3","-","-","-","-","-","-","-","4","-","3","1","-","-","-","-","-","-","-","1","-","1","-","-","-","-","-","-","19","6"
"102年 5月/ 基隆港","52","4","2","-","-","-","2","-","-","-","-","-","-","-","15","-","6","4","1","-","-","-","4","-","-","2","-","2","-","-","-","-","-","-","31","14"
"102年 5月/ 臺中港","63","8","-","-","2","-","6","-","-","-","-","-","-","-","22","3","6","6","6","-","-","-","1","-","-","-","-","-","-","-","1","-","1","-","32","12"
"102年 5月/ 高雄港","109","11","-","-","-","5","5","1","-","-","-","-","-","-","32","4","9","12","5","-","-","-","2","-","-","-","-","-","-","-","2","1","1","-","64","21"
"102年 5月/ 花蓮港","3","-","-","-","-","-","-","-","-","-","-","-","-","-","2","-","1","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","1","-"
"102年 6月/ 區域別總計","233,248","17,589","600","141","121","3,641","7,740","1,351","1,865","912","72","-","18","1,128","67,448","4,204","28,820","26,340","4,917","181","185","-","2,801","-","-","3,261","-","1,607","1,458","196","1,943","891","664","388","143,007","31,389"
"102年 6月/ 新北市","39,580","2,184","48","37","22","474","821","265","310","165","39","-","3","-","9,870","643","4,534","3,608","519","-","31","-","535","-","-","512","-","247","234","31","819","465","132","222","26,195","2,969"
"102年 6月/ 臺北市","31,541","3,014","33","22","24","392","696","324","297","138","16","-","-","1,072","7,440","523","2,947","2,995","652","-","9","-","314","-","-","549","-","234","246","69","416","145","159","112","20,122","1,440"
"102年 6月/ 桃園市","19,752","1,982","80","26","14","350","1,180","94","135","100","1","-","2","-","6,238","286","2,702","2,647","352","1","23","-","227","-","-","238","-","126","102","10","149","70","69","10","11,145","3,325"
"102年 6月/ 臺中市","26,644","1,692","18","7","9","169","998","134","200","152","-","-","5","-","8,411","280","3,764","3,422","580","65","8","-","292","-","-","306","-","152","137","17","66","2","59","5","16,169","6,027"
"102年 6月/ 臺南市","15,483","1,368","15","18","7","418","613","93","112","82","1","-","1","8","6,107","483","2,531","2,376","463","1","16","-","237","-","-","200","-","99","93","8","84","56","22","6","7,724","2,649"
"102年 6月/ 高雄市","22,172","1,775","77","11","13","566","586","201","209","102","2","-","4","4","7,951","540","3,434","3,049","541","-","25","-","362","-","-","372","-","192","169","11","139","52","73","14","11,935","2,075"
"102年 6月/ 宜蘭縣","5,478","336","9","1","3","48","209","4","32","28","1","-","1","-","1,574","59","715","623","103","-","2","-","72","-","-","67","-","35","32","-","5","2","3","-","3,496","630"
"102年 6月/ 新竹縣","3,745","373","11","3","6","72","196","21","40","23","-","-","1","-","1,407","69","597","570","146","1","9","-","15","-","-","66","-","34","27","5","14","6","5","3","1,885","640"
"102年 6月/ 苗栗縣","5,284","660","12","1","-","190","348","17","59","33","-","-","-","-","1,536","114","593","548","198","-","4","-","79","-","-","95","-","53","39","3","14","-","13","1","2,979","1,453"
"102年 6月/ 彰化縣","15,053","898","101","6","2","199","459","4","116","9","-","-","-","2","4,160","165","1,745","1,696","289","111","6","-","148","-","-","216","-","107","99","10","28","10","17","1","9,751","2,545"
"102年 6月/ 南投縣","5,744","377","34","2","3","71","206","13","40","6","1","-","-","1","1,337","70","580","528","102","-","3","-","54","-","-","85","-","43","39","3","4","1","2","1","3,941","1,021"
"102年 6月/ 雲林縣","7,466","506","24","-","1","108","282","15","41","9","-","-","-","26","2,017","328","733","715","159","-","3","-","79","-","-","73","-","37","34","2","13","6","6","1","4,857","1,251"
"102年 6月/ 嘉義縣","5,171","373","27","-","3","102","186","9","39","6","1","-","-","-","1,204","56","523","482","80","-","9","-","54","-","-","67","-","37","28","2","13","-","12","1","3,514","1,303"
"102年 6月/ 屏東縣","9,617","647","41","3","4","179","307","29","70","11","1","-","-","2","2,636","210","1,061","1,010","228","1","16","-","110","-","-","127","-","63","58","6","61","29","29","3","6,146","1,642"
"102年 6月/ 臺東縣","3,135","327","7","1","2","63","154","20","47","24","9","-","-","-","947","70","368","352","115","-","1","-","41","-","-","84","-","42","34","8","48","37","9","2","1,729","454"
"102年 6月/ 花蓮縣","4,012","259","17","1","5","31","114","50","34","6","-","-","1","-","983","115","373","329","110","1","5","-","50","-","-","60","-","31","27","2","5","5","-","-","2,705","457"
"102年 6月/ 澎湖縣","1,210","50","4","-","-","10","28","4","4","-","-","-","-","-","310","24","133","122","22","-","1","-","8","-","-","11","-","6","4","1","1","1","-","-","838","203"
"102年 6月/ 基隆市","3,638","219","23","1","-","67","99","3","26","-","-","-","-","-","956","31","421","411","47","-","5","-","41","-","-","41","-","21","17","3","6","-","3","3","2,416","377"
"102年 6月/ 新竹市","4,063","252","1","1","2","51","112","40","29","16","-","-","-","-","1,232","67","584","427","115","-","3","-","36","-","-","43","-","23","18","2","47","4","42","1","2,489","36"
"102年 6月/ 嘉義市","3,517","189","12","-","-","55","99","1","20","2","-","-","-","-","905","53","403","354","58","-","2","-","35","-","-","35","-","17","17","1","8","-","8","-","2,380","788"
"102年 6月/ 金門縣","685","79","5","-","1","19","32","6","3","-","-","-","-","13","151","11","57","51","27","-","1","-","4","-","-","8","-","4","3","1","1","-","-","1","446","58"
"102年 6月/ 連江縣","56","6","-","-","-","-","6","-","-","-","-","-","-","-","16","1","3","6","4","-","1","-","1","-","-","-","-","-","-","-","-","-","-","-","34","10"
"102年 6月/ 基隆港","60","11","1","-","-","1","6","2","1","-","-","-","-","-","19","2","6","6","4","-","-","-","1","-","-","4","-","3","-","1","-","-","-","-","26","10"
"102年 6月/ 臺中港","48","1","-","-","-","1","-","-","-","-","-","-","-","-","18","-","6","6","2","-","1","-","3","-","-","-","-","-","-","-","-","-","-","-","29","10"
"102年 6月/ 高雄港","75","10","-","-","-","4","3","2","1","-","-","-","-","-","14","1","5","5","1","-","-","-","2","-","-","2","-","1","1","-","2","-","1","1","47","13"
"102年 6月/ 花蓮港","19","1","-","-","-","1","-","-","-","-","-","-","-","-","9","3","2","2","-","-","1","-","1","-","-","-","-","-","-","-","-","-","-","-","9","3"
"102年 7月/ 區域別總計","235,266","18,195","608","156","169","3,766","7,914","1,354","1,941","989","66","-","14","1,218","67,911","4,325","29,001","26,485","4,914","217","226","-","2,743","-","-","3,363","-","1,652","1,467","244","2,032","991","673","368","143,765","30,686"
"102年 7月/ 新北市","39,718","2,342","61","34","15","524","900","282","323","166","35","-","2","-","9,862","647","4,527","3,580","538","-","32","-","538","-","-","513","-","248","231","34","838","486","127","225","26,163","2,784"
"102年 7月/ 臺北市","32,234","3,135","32","19","24","427","684","310","304","163","13","-","3","1,156","7,738","552","3,100","3,104","656","1","10","-","315","-","-","557","-","246","246","65","439","166","179","94","20,365","1,348"
"102年 7月/ 桃園市","20,686","2,128","80","31","13","381","1,271","85","153","107","6","-","-","1","6,447","312","2,810","2,738","362","-","28","-","197","-","-","277","-","149","101","27","195","93","91","11","11,639","3,414"
"102年 7月/ 臺中市","26,347","1,685","35","8","17","186","999","121","185","131","-","-","1","2","8,158","261","3,662","3,342","548","84","5","-","256","-","-","284","-","141","126","17","67","1","57","9","16,153","5,952"
"102年 7月/ 臺南市","15,019","1,349","9","10","11","389","545","110","149","111","-","-","1","14","5,866","444","2,472","2,305","405","-","7","-","233","-","-","240","-","112","104","24","77","52","22","3","7,487","2,591"
"102年 7月/ 高雄市","22,352","1,778","65","11","23","525","542","235","232","138","4","-","3","-","8,048","572","3,437","3,060","575","3","34","-","367","-","-","405","-","207","172","26","201","113","81","7","11,920","2,017"
"102年 7月/ 宜蘭縣","5,903","370","13","1","5","65","199","7","44","33","3","-","-","-","1,742","70","808","703","104","-","3","-","54","-","-","72","-","32","37","3","1","-","1","-","3,718","629"
"102年 7月/ 新竹縣","3,923","360","6","5","3","70","183","24","37","32","-","-","-","-","1,453","76","612","575","152","4","12","-","22","-","-","69","-","37","30","2","16","8","5","3","2,025","659"
"102年 7月/ 苗栗縣","5,475","650","12","7","2","180","346","20","51","31","-","-","1","-","1,610","130","616","579","197","-","9","-","79","-","-","90","-","46","41","3","20","1","15","4","3,105","1,520"
"102年 7月/ 彰化縣","15,159","940","87","4","9","270","443","7","108","7","-","-","-","5","4,170","208","1,743","1,666","280","118","12","-","143","-","-","179","-","89","84","6","33","13","18","2","9,837","2,565"
"102年 7月/ 南投縣","5,818","404","34","2","8","70","236","10","41","2","-","-","-","1","1,305","70","531","527","119","-","4","-","54","-","-","89","-","48","40","1","7","4","3","-","4,013","1,041"
"102年 7月/ 雲林縣","7,170","543","43","1","13","101","301","12","51","3","-","-","1","17","1,994","315","724","689","184","-","7","-","75","-","-","99","-","52","41","6","8","3","4","1","4,526","1,093"
"102年 7月/ 嘉義縣","5,327","381","27","2","2","89","206","9","42","4","-","-","-","-","1,335","73","569","520","106","-","9","-","58","-","-","86","-","45","38","3","20","5","14","1","3,505","1,281"
"102年 7月/ 屏東縣","9,662","626","42","5","6","183","297","20","67","6","-","-","-","-","2,608","195","1,046","992","216","3","14","-","142","-","-","121","-","60","55","6","19","7","11","1","6,288","1,709"
"102年 7月/ 臺東縣","3,455","356","3","8","5","77","182","18","38","21","4","-","-","-","1,023","58","413","405","102","-","5","-","40","-","-","65","-","32","26","7","40","29","9","2","1,971","485"
"102年 7月/ 花蓮縣","4,131","243","13","1","4","37","109","33","28","14","1","-","2","1","1,202","163","440","420","115","2","12","-","50","-","-","68","-","32","33","3","11","7","1","3","2,607","300"
"102年 7月/ 澎湖縣","1,314","77","3","1","1","13","52","3","4","-","-","-","-","-","304","27","121","119","19","-","4","-","14","-","-","9","-","5","4","-","1","-","1","-","923","216"
"102年 7月/ 基隆市","3,718","255","32","1","2","52","130","4","34","-","-","-","-","-","922","39","388","378","68","-","10","-","39","-","-","60","-","30","27","3","5","-","4","1","2,476","281"
"102年 7月/ 新竹市","3,748","267","1","4","3","52","117","39","31","20","-","-","-","-","1,079","50","530","378","94","-","3","-","24","-","-","50","-","26","18","6","26","2","24","-","2,326","40"
"102年 7月/ 嘉義市","3,086","183","8","1","3","54","101","-","15","-","-","-","-","1","753","37","342","305","43","-","3","-","23","-","-","24","-","12","11","1","5","-","4","1","2,121","654"
